               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.083599,            0.062987,            0.032527,              0.3407,             0.28582,             0.22566,            0.074489,            0.068407,            0.045128,            0.018573,            0.070019,           0.0033312,           0.0033312
                   1,            0.071299,            0.062228,            0.012213,             0.36902,             0.33056,             0.27617,            0.091767,            0.065248,            0.046078,            0.011368,            0.039953,           0.0065986,           0.0065986
                   2,            0.070132,            0.062732,            0.011356,             0.35432,             0.32407,             0.26195,            0.083322,            0.065871,            0.044868,            0.010559,           0.0098209,           0.0097999,           0.0097999
                   3,            0.069095,             0.06231,            0.010799,             0.38421,             0.31464,             0.26304,            0.085967,            0.065251,             0.04492,           0.0087656,            0.009703,            0.009703,            0.009703
                   4,            0.067233,            0.061777,           0.0084856,             0.39757,             0.35814,             0.30787,              0.1076,            0.062875,             0.04374,            0.007245,            0.009703,            0.009703,            0.009703
                   5,            0.066043,            0.061154,           0.0074487,             0.42357,             0.36857,             0.33098,             0.11789,            0.061831,             0.04341,           0.0062533,            0.009604,            0.009604,            0.009604
                   6,            0.064924,            0.060658,           0.0067305,             0.43337,             0.37933,             0.34042,             0.11847,            0.061357,            0.043271,           0.0056177,            0.009505,            0.009505,            0.009505
                   7,            0.064359,            0.060128,           0.0063256,             0.42975,             0.38304,             0.34182,             0.11846,            0.061118,            0.043063,           0.0055014,            0.009406,            0.009406,            0.009406
                   8,            0.063748,             0.06037,           0.0056761,              0.4508,             0.39389,             0.35828,             0.12936,            0.060446,            0.042887,           0.0052448,            0.009307,            0.009307,            0.009307
                   9,            0.063115,             0.05932,           0.0052963,             0.45774,             0.38841,             0.35792,             0.12836,            0.060355,            0.042683,           0.0046746,            0.009208,            0.009208,            0.009208
                  10,            0.062817,            0.059956,            0.005021,             0.45195,             0.40523,             0.36832,             0.13084,            0.059811,            0.042876,           0.0045521,            0.009109,            0.009109,            0.009109
                  11,             0.06222,            0.059643,           0.0048651,             0.45657,             0.40481,             0.36947,             0.13282,            0.059884,            0.042658,           0.0047108,             0.00901,             0.00901,             0.00901
                  12,            0.061931,            0.058681,           0.0046677,             0.46013,             0.40649,             0.36871,             0.13549,              0.0598,            0.042574,           0.0044518,            0.008911,            0.008911,            0.008911
                  13,            0.061514,            0.059186,           0.0044823,              0.4624,              0.4067,             0.37009,             0.13297,            0.059611,            0.042463,            0.004012,            0.008812,            0.008812,            0.008812
                  14,            0.061132,            0.058901,           0.0042521,             0.46505,             0.40939,             0.37456,              0.1349,             0.05949,            0.042565,           0.0043147,            0.008713,            0.008713,            0.008713
                  15,            0.060866,            0.058017,           0.0042109,             0.46847,             0.41229,             0.37749,             0.13885,             0.05943,            0.042501,            0.004536,            0.008614,            0.008614,            0.008614
                  16,            0.060417,            0.058152,           0.0039735,             0.46938,               0.415,             0.38161,             0.13866,            0.059057,            0.042526,           0.0040393,            0.008515,            0.008515,            0.008515
